,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
INHBA,1.54E-165,0.872454174,0.953,0.484,4.00E-161
ZBTB7C,2.07E-69,0.863678676,0.264,0.086,5.38E-65
LDHB,6.71E-152,0.859483535,0.983,0.723,1.74E-147
KPTN,4.18E-64,0.856892677,0.332,0.128,1.08E-59
ARHGEF28,5.71E-81,0.855488334,0.338,0.115,1.48E-76
MCEMP1,3.23E-174,0.853752337,0.994,0.688,8.37E-170
OSCAR,1.09E-127,0.847934585,0.928,0.551,2.83E-123
PEX14,6.52E-98,0.84775363,0.468,0.17,1.69E-93
PPARG,1.57E-145,0.847307802,0.954,0.525,4.08E-141
SERPINA1,6.89E-217,0.845709698,0.998,0.883,1.79E-212
FAR2,2.14E-102,0.839543846,0.473,0.172,5.55E-98
POR,1.99E-131,0.839409879,0.879,0.44,5.17E-127
RND3,1.63E-137,0.829203525,0.745,0.319,4.23E-133
CD52,8.42E-167,0.828154468,1,0.834,2.18E-162
C1QB,5.05E-238,0.827446244,0.999,0.944,1.31E-233
TST,1.84E-81,0.820323952,0.345,0.119,4.76E-77
UBB,7.92E-252,0.818459376,1,0.964,2.05E-247
SNX2,1.01E-150,0.81267998,0.986,0.713,2.62E-146
YARS2,1.82E-96,0.812436628,0.361,0.116,4.72E-92
MYO6,3.53E-102,0.810900685,0.496,0.182,9.16E-98
CD9,2.58E-161,0.807997762,0.996,0.844,6.68E-157
SAMM50,1.42E-115,0.807032225,0.661,0.271,3.68E-111
HLA-C,3.61E-205,0.806920325,1,0.975,9.37E-201
EIF2B3,1.22E-91,0.799993276,0.433,0.158,3.17E-87
NUDT9,1.96E-106,0.798123397,0.475,0.168,5.08E-102
TRPV2,5.84E-125,0.79526669,0.917,0.487,1.52E-120
TUBB6,1.81E-112,0.794174592,0.839,0.432,4.71E-108
PROCR,4.54E-116,0.792388292,0.652,0.263,1.18E-111
HLA-DRB1,1.16E-171,0.789950753,1,0.985,3.01E-167
LGALS3,7.24E-195,0.788772699,1,0.946,1.88E-190
PLA2G16,1.41E-138,0.78695075,0.981,0.6,3.67E-134
ABCG1,1.29E-106,0.784295804,0.921,0.554,3.34E-102
FAM134B,1.75E-60,0.783582864,0.3,0.112,4.54E-56
HMOX2,6.74E-121,0.781821295,0.812,0.377,1.75E-116
CEACAM21,2.02E-49,0.780276445,0.258,0.1,5.24E-45
PIGK,8.48E-107,0.778514628,0.432,0.144,2.20E-102
JAML,2.12E-131,0.778341784,0.952,0.565,5.49E-127
MACC1,9.71E-110,0.771215839,0.654,0.274,2.52E-105
Sep-11,2.82E-125,0.766593431,0.952,0.528,7.32E-121
ALAS1,2.29E-104,0.761666156,0.782,0.373,5.95E-100
HK3,2.53E-107,0.759420609,0.618,0.248,6.56E-103
ACVRL1,2.30E-100,0.758319447,0.638,0.27,5.97E-96
ATP10A,1.25E-84,0.751200741,0.413,0.151,3.25E-80
ALG14,6.99E-88,0.743845398,0.429,0.158,1.81E-83
KAT8,7.18E-115,0.743256374,0.791,0.356,1.86E-110
IFI27,1.40E-46,0.742449337,0.682,0.426,3.63E-42
LRPAP1,4.37E-140,0.741804073,0.998,0.749,1.13E-135
ETHE1,2.91E-120,0.741438452,0.964,0.593,7.55E-116
RABGGTA,2.32E-96,0.7387632,0.574,0.232,6.02E-92
NDUFAF1,3.00E-93,0.738508176,0.426,0.151,7.78E-89
EMG1,1.57E-103,0.738122926,0.632,0.262,4.06E-99
APIP,1.79E-113,0.735324361,0.895,0.483,4.63E-109
GPA33,1.92E-96,0.731395338,0.516,0.197,4.98E-92
HCAR3,3.07E-95,0.729234144,0.539,0.215,7.97E-91
ECSCR,1.15E-107,0.729199694,0.529,0.192,2.98E-103
TMEM14A,7.97E-96,0.727940495,0.546,0.218,2.07E-91
TMEM53,6.90E-106,0.727372914,0.704,0.305,1.79E-101
FAM89A,5.27E-116,0.723986162,0.767,0.33,1.37E-111
RHBDD2,1.18E-116,0.716456604,0.974,0.589,3.06E-112
NTHL1,3.62E-78,0.716417742,0.353,0.124,9.39E-74
TNNI2,9.09E-104,0.714358727,0.861,0.443,2.36E-99
CAT,1.90E-113,0.714320326,0.936,0.543,4.94E-109
ANXA2,3.00E-224,0.712100815,1,0.962,7.77E-220
CD58,2.20E-96,0.711814201,0.834,0.457,5.70E-92
ACAT1,4.95E-114,0.711582281,0.733,0.311,1.28E-109
PHLDA3,3.28E-124,0.711156684,0.926,0.46,8.51E-120
DNAJA1,4.70E-129,0.710785464,0.995,0.799,1.22E-124
VWA8,9.32E-65,0.708434426,0.332,0.125,2.42E-60
ACOT7,5.21E-110,0.708430501,0.866,0.454,1.35E-105
CTB-178M22.2,2.35E-48,0.705456219,0.27,0.108,6.09E-44
CDCP1,5.12E-103,0.704820976,0.667,0.285,1.33E-98
TBC1D10C,2.16E-115,0.703730034,0.789,0.351,5.61E-111
BLVRA,7.84E-123,0.699759938,0.98,0.639,2.03E-118
RIPK3,4.51E-66,0.698466969,0.296,0.105,1.17E-61
CRIP1,1.05E-114,0.697979614,0.991,0.716,2.73E-110
C1QA,3.41E-232,0.697219618,1,0.965,8.85E-228
WWTR1,8.69E-65,0.697026669,0.271,0.093,2.25E-60
HLA-B,2.03E-121,0.695870191,1,0.987,5.27E-117
CA2,1.61E-76,0.694831204,0.565,0.264,4.16E-72
PILRA,8.78E-113,0.693921707,0.961,0.621,2.28E-108
